serving_size,energy-kcal_100g,fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g,vitamin-c_100g,vitamin-b12_100g,potassium_100g,calcium_100g,iron_100g,cluster
1.0,375.0,4.6875,0.0,46.875,31.25,6.25,6.25,0.390625,0.0188,4.69e-06,0.203,0.312,0.01406,4
1.0,388.88888888889,4.1666666666667,0.0,86.111111111111,33.333333333333,5.5555555555556,5.5555555555556,0.5,0.0167,3.33e-06,0.0,0.361,0.01,4
8.0,452.0,16.13,0.0,74.19,32.26,0.0,3.23,0.402,0.002,0.0,0.065,0.032,0.00065,0
2.0,516.0,29.03,0.032,61.29,22.58,0.0,6.45,0.294,0.0,0.0,0.064,0.0,0.00232,0
8.0,516.13,24.3,0.0,70.4,40.9,3.2,2.9,0.257,0.0,0.0,0.096,0.0,0.0,0
2.0,472.22,19.44,0.014,72.22,33.33,2.78,5.56,0.26812,0.0,0.0,0.116,0.0,0.003,0
1.0,500.0,25.0,0.0,67.86,31.7,3.57,3.57,0.381,0.0,0.0,0.214,0.036,0.0025,0
3.0,469.0,28.12,0.016,62.5,0.0,6.2,6.25,0.425,0.0,0.0,0.131,0.0,0.00225,2
325.0,15.8,0.923,0.00615,1.23,0.308,0.308,9.23,0.0719,0.0142,0.000185,0.0646,0.2,0.000554,1
1.0,375.0,10.42,0.0,58.33,25.0,8.3,16.67,0.25,0.025,1e-05,0.24,0.729,0.01125,3
